Unnamed: 0,Username,category,rating,label,TEXT
42,user_42,Home_and_Kitchen,2.0,1,Not as advertised. Disappointed.
43,user_43,Home_and_Kitchen,5.0,0,Excellent product! Works as expected.
44,user_44,Home_and_Kitchen,5.0,0,Top quality! Very happy with this purchase.
45,user_45,Home_and_Kitchen,1.0,1,Amazinggggg product! Must buy!
46,user_46,Home_and_Kitchen,4.0,1,"Do not buy this, waste of money!"
47,user_47,Home_and_Kitchen,3.0,0,Good packaging and performance. Highly recommend.
48,user_48,Home_and_Kitchen,2.0,0,Reliable and efficient product.
49,user_49,Home_and_Kitchen,5.0,0,Exactly as described. No complaints.
50,user_50,Home_and_Kitchen,5.0,1,Packaging was damaged and product fake.
51,user_51,Home_and_Kitchen,4.0,0,Delivered on time. Worth the price.
52,user_52,Home_and_Kitchen,5.0,0,Excellent product! Works as expected.
53,user_53,Home_and_Kitchen,1.0,1,Not as advertised. Disappointed.
54,user_54,Home_and_Kitchen,2.0,0,Very satisfied with the quality and service.
55,user_55,Home_and_Kitchen,5.0,0,Durable and stylish. Would buy again.
56,user_56,Home_and_Kitchen,5.0,1,Packaging was damaged and product fake.
57,user_57,Home_and_Kitchen,1.0,0,Good packaging and performance. Highly recommend.
58,user_58,Home_and_Kitchen,5.0,0,Excellent product! Works as expected.
59,user_59,Home_and_Kitchen,5.0,0,Delivered on time. Worth the price.
60,user_60,Home_and_Kitchen,2.0,0,Very satisfied with the quality and service.
61,user_61,Home_and_Kitchen,3.0,0,Exactly as described. No complaints.
62,user_62,Home_and_Kitchen,4.0,1,Amazinggggg product! Must buy!
63,user_63,Home_and_Kitchen,4.0,1,"Do not buy this, waste of money!"
64,user_64,Home_and_Kitchen,2.0,0,Absolutely love this product.
65,user_65,Home_and_Kitchen,2.0,0,Top quality! Very happy with this purchase.
66,user_66,Home_and_Kitchen,1.0,0,Reliable and efficient product.
67,user_67,Home_and_Kitchen,4.0,1,Packaging was damaged and product fake.
68,user_68,Home_and_Kitchen,4.0,0,Exactly as described. No complaints.
69,user_69,Home_and_Kitchen,3.0,1,"Do not buy this, waste of money!"
70,user_70,Home_and_Kitchen,2.0,0,Exactly as described. No complaints.
71,user_71,Home_and_Kitchen,3.0,1,"Do not buy this, waste of money!"
72,user_72,Home_and_Kitchen,3.0,0,Perfect for my needs. Great experience.
73,user_73,Home_and_Kitchen,5.0,0,Good packaging and performance. Highly recommend.
74,user_74,Home_and_Kitchen,1.0,1,Looks great but very cheap quality.
75,user_75,Home_and_Kitchen,2.0,0,Absolutely love this product.
76,user_76,Home_and_Kitchen,2.0,1,Amazinggggg product! Must buy!
77,user_77,Home_and_Kitchen,3.0,0,Reliable and efficient product.
78,user_78,Home_and_Kitchen,1.0,1,Too good to be true. Buy now!!!
79,user_79,Home_and_Kitchen,5.0,1,"Do not buy this, waste of money!"
80,user_80,Home_and_Kitchen,3.0,1,Not as advertised. Disappointed.
81,user_81,Home_and_Kitchen,1.0,1,Scammy product. Totally fake.
82,user_82,Home_and_Kitchen,5.0,1,Looks great but very cheap quality.
83,user_83,Home_and_Kitchen,3.0,1,"Do not buy this, waste of money!"
84,user_84,Home_and_Kitchen,4.0,0,Absolutely love this product.
85,user_85,Home_and_Kitchen,1.0,0,Excellent product! Works as expected.
86,user_86,Home_and_Kitchen,5.0,0,Excellent product! Works as expected.
87,user_87,Home_and_Kitchen,3.0,1,"Do not buy this, waste of money!"
88,user_88,Home_and_Kitchen,3.0,1,Not as advertised. Disappointed.
89,user_89,Home_and_Kitchen,3.0,0,Absolutely love this product.
90,user_90,Home_and_Kitchen,5.0,1,"Came broken, looks like a fake item."
91,user_91,Home_and_Kitchen,2.0,1,Too good to be true. Buy now!!!
92,user_92,Home_and_Kitchen,3.0,0,Excellent product! Works as expected.
93,user_93,Home_and_Kitchen,5.0,0,Reliable and efficient product.
94,user_94,Home_and_Kitchen,5.0,1,Only 5-star product in the world!
95,user_95,Home_and_Kitchen,1.0,1,"Do not buy this, waste of money!"
96,user_96,Home_and_Kitchen,1.0,1,Amazinggggg product! Must buy!
97,user_97,Home_and_Kitchen,2.0,0,Good packaging and performance. Highly recommend.
98,user_98,Home_and_Kitchen,2.0,0,Absolutely love this product.
99,user_99,Home_and_Kitchen,1.0,0,Very satisfied with the quality and service.
